Biome;LL;LMA;Nmass;Pmass;Amass;Rmass
wland;1,26;2,45;0,069;-0,932;1,69;
wland;1,17;2,19;0,094;-0,923;1,86;
wland;1,35;2,15;0,014;-0,994;1,88;
wland;;1,98;;;;
wland;0,95;2,03;0,388;-0,824;2,21;
wland;1,17;2,36;0,255;-0,962;2;
wland;1,04;2,08;0,328;-0,826;2,17;
wland;1,07;2,14;0,382;-0,692;2,25;
wland;;1,87;;;;
wland;0,6;1,75;0,412;-0,761;2,13;
wland;0,96;2,25;0,222;-0,805;2,02;
wland;1,36;2,32;0,137;-0,879;1,77;
wland;0,66;1,89;0,288;-0,72;2,21;
wland;0,64;2;0,259;-0,922;2,1;
wland;;2,03;;;;
wland;0,3;1,98;0,361;-0,803;2,35;
wland;0,88;2,05;0,063;-0,921;2,09;
wland;;2,18;;;;
wland;1,22;2,18;0,311;-0,847;1,81;
wland;;2,29;;;;
wland;;2,32;;;;
wland;1,19;1,87;0,318;-0,689;2,16;
wland;1,13;2,1;0,328;-0,871;2;
wland;0,52;1,97;0,349;-0,875;2,07;
wland;;1,87;;;;
wland;0,62;2;0,404;-0,748;2,28;
wland;;1,9;;;;
wland;0,62;1,9;0,296;-0,702;2,22;
temp_rf;;1,95;0,076;-1,046;1,78;
temp_rf;;1,95;0,56;-0,553;2,21;
temp_rf;;1,9;0,111;-1,155;2,11;
temp_rf;;2,49;-0,137;-2;1,16;
temp_rf;;2,17;0,111;-0,796;2;
temp_rf;;2,19;-0,018;-1,398;1,67;
temp_rf;;1,82;0,114;-1,523;;
temp_rf;;1,68;0,146;-1,097;2,53;
temp_rf;;1,56;0,47;-0,658;;
temp_rf;;2,06;0,461;-0,824;1,83;
temp_rf;;2,31;-0,086;-2;;
temp_rf;;1,73;0,299;-0,658;1,98;
temp_rf;;2,23;-0,051;-2;;
temp_rf;;2,18;-0,013;-1,301;;
temp_rf;;2,16;0,146;-0,854;;
temp_rf;;1,82;-0,092;-1,523;;
temp_rf;;2,29;-0,066;-1,398;1,69;
temp_rf;;2,19;0,037;-0,886;0,97;
trop_rf;;1,92;0,037;-1,398;;
trop_rf;;1,66;0,072;-0,959;;
trop_rf;;2,15;-0,066;-1,301;;
trop_rf;;2,25;-0,06;-1,222;1,79;
trop_rf;;1,66;0,021;-1,301;;
trop_rf;;1,68;0,045;-0,959;;
trop_rf;;1,79;0,204;-1,097;2,36;
trop_rf;;1,85;0,117;-1,097;1,45;
temp_rf;;1,86;0,127;-1;1,66;
temp_rf;;1,78;0,22;-0,959;;
temp_rf;;1,51;0,455;-0,886;1,67;
temp_rf;;1,78;0,281;-1;1,59;
temp_rf;;1,98;0,093;-1,398;;
temp_rf;;2,04;0,045;-1,155;1,48;
temp_rf;;2,31;-0,114;-1,699;1,27;
temp_rf;;1,57;0,338;-0,921;;
temp_rf;;1,91;-0,004;-1,222;;
temp_rf;;1,6;0,243;-1,155;1,51;
temp_rf;;2,04;-0,018;-1,301;;
temp_rf;;2,09;0,104;-1,398;1,48;
temp_rf;;2,35;-0,161;-1,699;;
temp_rf;;2,2;-0,108;-1,398;1,46;
temp_rf;;2,56;-0,229;-1,699;1,27;
temp_for;;2;0,402;;2,29;
temp_for;;1,75;0,428;;2,52;
temp_for;;1,96;0,358;;2;
temp_for;;2,04;0,406;;2,33;
temp_for;;2;0,527;;2,36;
temp_for;;1,76;0,413;;2,34;
temp_for;;1,81;0,301;;2,3;
temp_for;;2,02;0,234;;2,09;
temp_for;;2,01;0,222;;1,83;
temp_for;;1,77;0,405;;2,23;
trop_rf;;1,41;0,412;-0,672;;
trop_rf;;1,63;0,191;-0,674;;
trop_rf;;2,03;0,053;-0,892;;
trop_rf;;1,93;0,154;-0,954;;
trop_rf;;1,87;0,222;-0,798;;
trop_rf;;1,74;0,187;-0,969;;
trop_rf;;1,8;0,329;-0,885;;
trop_rf;;1,93;0,18;-0,997;;
trop_rf;;1,75;0,213;-0,999;;
trop_rf;;1,8;;-1,074;;
trop_rf;;1,89;0,344;-0,914;;
trop_rf;;1,62;0,08;-0,85;;
trop_rf;;1,61;0,247;-0,684;;
trop_rf;;2,03;0,322;-0,944;;
trop_rf;;2,02;;-1,032;;
trop_rf;;1,93;0,329;-0,864;;
trop_rf;;1,82;0,282;-0,814;;
trop_rf;;2,06;0,177;-1,016;;
trop_rf;;2,04;0,119;-0,678;;
trop_rf;;2,11;0,072;-1,026;;
trop_rf;;1,97;-0,048;-0,859;;
trop_rf;;1,92;0,227;-0,931;;
trop_rf;;1,92;0,2;-0,874;;
trop_rf;;1,69;0,444;-0,82;;
trop_rf;;1,94;0,092;-1,083;;
trop_rf;;2,12;;-1,071;;
trop_rf;;2,02;0,237;-0,899;;
trop_rf;;1,66;0,24;-0,911;;
trop_rf;;2,06;0,243;-0,977;;
trop_rf;;2;0,204;-0,743;;
trop_rf;;1,79;0,323;-0,71;;
trop_rf;;1,71;0,326;-0,772;;
trop_rf;;1,97;;-1,012;;
trop_rf;;1,99;0,394;-0,95;;
trop_rf;;1,74;0,176;-0,809;;
trop_rf;;2;0,18;-1,063;;
trop_rf;;1,73;0,16;-0,939;;
trop_rf;;2,14;0,228;-0,985;;
trop_rf;;1,85;0,403;-0,636;;
trop_rf;;2,12;;-1,113;;
trop_rf;;1,84;0,202;-0,745;;
trop_rf;;1,82;0,327;-0,852;;
trop_rf;;1,57;0,508;-0,664;;
trop_rf;;1,81;0,362;-0,755;;
trop_rf;;2;0,143;-0,913;;
trop_rf;;2,07;0,223;-0,695;;
trop_rf;;2,11;0,201;-1,158;;
trop_rf;;1,96;0,029;-1,149;;
trop_rf;;1,94;0,015;-1,165;;
trop_rf;;1,73;0,253;-0,984;;
trop_rf;;1,74;0,14;-1,184;;
trop_rf;;2,04;0,038;-1,16;;
trop_rf;;1,62;0,206;-1,157;;
trop_rf;;1,98;0,272;-0,761;;
trop_rf;;1,77;0,129;-0,795;;
trop_rf;;2,14;-0,123;-1,105;;
trop_rf;;1,78;0,29;-0,743;;
trop_rf;;2,19;;-0,914;;
trop_rf;;1,86;0,152;-0,95;;
trop_rf;;1,73;0,351;-0,921;;
trop_rf;;1,76;0,36;-0,821;;
trop_rf;;1,79;0,336;-0,753;;
trop_rf;;1,98;0,257;-0,956;;
trop_rf;;1,81;0,227;-0,943;;
trop_rf;;1,91;0,048;-1,121;;
trop_rf;;1,76;0,452;-0,678;;
trop_rf;;1,6;0,137;-0,985;;
trop_rf;;1,93;0,191;-1,12;;
trop_rf;;2,05;0,025;-1,128;;
trop_rf;;1,82;0,319;-0,658;;
temp_for;0,92;2,12;0,167;;2,08;
temp_for;0,96;2,13;0,083;;1,97;
temp_for;0,75;2,03;-0,022;;2,14;
temp_for;0,88;2,1;0,121;;2,02;
temp_for;0,93;2,04;0,185;;2,1;
temp_for;1,09;2,1;0,009;;1,74;
temp_for;0,94;2,11;0,111;;2,06;
temp_for;0,92;1,99;0,225;;2,18;
temp_for;0,84;2,08;0,004;;2,04;
temp_for;0,9;2,15;0,238;;2,09;
temp_for;0,88;2,04;0,204;;2,18;
temp_for;0,92;2,21;-0,051;;2,08;
temp_for;0,91;2,06;0,288;;2,13;
temp_for;0,94;2,06;0,143;;1,88;
temp_for;1,04;2,35;-0,06;;1,95;
temp_for;0,84;2,01;0,25;;2,1;
temp_for;1,01;2,17;0,121;;2,2;
wland;1,1;1,66;;;;
wland;1,18;1,65;;;;
wland;1,14;1,67;;;;
